Period,Weekly average price in Hungary [forints/litre],Weekly average price in countries in the region [forints/litre],Weekly average price in neighbouring countries [forints/litre]
1/2/2023,641,558,560
1/9/2023,657,561,562
1/16/2023,626,564,567
1/23/2023,625,564,568
1/30/2023,627,564,565
2/6/2023,622,568,571
2/13/2023,617,560,564
2/20/2023,619,557,560
2/27/2023,610,552,554
3/6/2023,604,549,553
3/13/2023,606,569,573
3/20/2023,607,578,584
3/27/2023,604,558,563
4/3/2023,613,553,557
4/10/2023,611,558,564
4/17/2023,610,556,561
4/24/2023,592,556,561
5/1/2023,580,549,553
5/8/2023,570,545,550
5/15/2023,556,534,538
5/22/2023,557,541,545
5/29/2023,578,539,544
6/5/2023,577,536,540
6/12/2023,577,539,545
6/19/2023,580,549,555
6/26/2023,582,543,548
7/3/2023,575,550,556
7/10/2023,580,562,569
7/17/2023,593,552,560
7/24/2023,592,562,571
7/31/2023,612,586,594
8/7/2023,630,601,612
8/14/2023,630,595,606
8/21/2023,643,598,610
8/28/2023,643,601,613
9/4/2023,644,605,616
9/11/2023,646,601,618
9/18/2023,656,604,623
9/25/2023,659,616,635
10/2/2023,646,611,631
10/9/2023,629,605,623
10/16/2023,604,591,605
10/23/2023,605,581,592
10/30/2023,608,583,591
11/6/2023,610,580,587
11/13/2023,597,569,575
11/20/2023,588,570,574
11/27/2023,581,567,571
12/4/2023,578,563,568
12/11/2023,574,559,562
12/18/2023,552,556,560
12/25/2023,546,549,553
1/1/2024,564,551,556
1/8/2024,560,547,555
1/15/2024,576,547,555
1/22/2024,579,554,562
1/29/2024,589,568,576
2/5/2024,602,566,574
2/12/2024,599,574,583
2/19/2024,610,583,593
2/26/2024,614,587,598
3/4/2024,611,598,611
3/11/2024,620,601,613
3/18/2024,618,598,610
3/25/2024,629,602,615
4/1/2024,640,608,622
4/8/2024,641,609,622
4/15/2024,640,620,635
4/22/2024,648,623,638
4/29/2024,639,619,633
